Paper: Title..., arXiv:251X.XXXXX
Authors: Högås M., Mörtsell E., Desmond H., Riess A.
Table: I
================================================================================
Byte-by-byte description of file: Table_I.txt
--------------------------------------------------------------------------------
Format Units Label    Explanations
--------------------------------------------------------------------------------
A5     ---   Field    Observed field
F11.8  dex   Phi_low  Lower bound of external potential
F11.8  dex   Phi_mean Mean external potential
F11.8  dex   Phi_high Upper bound of external potential
F12.8  dex   a_low    Lower bound of external acceleration
F12.8  dex   a_mean   Mean external acceleration
F12.8  dex   a_high   Upper bound of external acceleration
F12.8  dex   K_low    Lower bound of external curvature
F12.8  dex   K_mean   Mean external curvature
F12.8  dex   K_high   Upper bound of external curvature
F4.1   Mpc   Rmax     Cutoff radius
--------------------------------------------------------------------------------
Field       Phi_low   Phi_mean   Phi_high      a_low     a_mean     a_high       K_low      K_mean      K_high   Rmax
N1015      -4.24010   -4.21053   -4.19662  -15.44967  -15.34875  -15.18965   -55.18275   -55.11537   -55.08879   50.0
N105A      -8.57609   -8.42044   -8.42044  -15.87932  -15.76997  -15.50725   -55.35562   -55.24025   -55.01500    0.4
N105A      -7.47893   -7.31681   -7.31681  -15.87663  -15.64882  -15.45698   -55.35468   -55.24025   -55.01526    1.4
N105A      -6.36762   -6.21317   -6.21317  -15.89112  -15.89112  -15.51179   -55.35369   -55.24025   -55.01437    5.1
N105A      -5.04090   -5.00244   -4.93455  -15.17219  -15.03984  -14.97786   -55.17997   -55.09308   -54.87685   18.1
N105A      -4.09952   -4.08393   -4.05475  -14.73212  -14.72684  -14.67140   -55.00488   -54.97246   -54.79259   50.0
N1309      -8.65133   -8.61037   -8.47842  -15.54177  -15.45969  -15.29737   -55.49718   -55.42289   -55.16297    0.4
N1309      -7.55090   -7.37375   -7.37375  -15.54138  -15.28177  -15.28177   -55.49795   -55.42289   -55.16367    1.4
N1309      -6.26481   -6.20787   -6.12198  -15.55402  -15.42445  -15.24034   -55.45341   -55.13371   -55.11532    5.1
N1309      -5.22885   -5.11358   -4.97956  -15.08877  -14.99560  -14.92457   -55.31708   -55.31708   -55.05655   18.1
N1309      -4.28148   -4.26104   -4.22276  -15.05437  -14.96741  -14.84391   -55.18495   -55.18495   -54.96435   50.0
N1365      -7.05011   -6.61540   -6.45284  -15.09600  -14.98217  -14.61545   -54.44929   -54.09858   -53.57668    0.4
N1365      -6.11378   -5.95633   -5.52808  -14.74015  -14.42398  -14.11506   -54.07650   -53.47396   -53.28484    1.4
N1365      -5.61394   -5.52570   -5.41022  -14.78042  -14.64975  -14.45429   -54.21611   -53.93942   -53.79006    5.1
N1365      -4.96156   -4.90910   -4.78481  -14.72474  -14.60838  -14.29755   -54.12028   -53.99212   -53.83592   18.1
N1365      -4.19979   -4.16386   -4.13403  -14.71454  -14.59946  -14.42244   -54.13388   -53.96591   -53.83452   50.0
N1448      -8.44659   -8.39534   -8.29227  -15.76825  -15.55998  -15.32724   -55.05659   -55.03453   -54.85299    0.4
N1448      -7.21712   -7.12281   -7.03360  -15.72344  -15.26008  -15.21033   -55.05058   -55.02708   -54.82259    1.4
N1448      -5.85241   -5.79040   -5.62458  -15.41631  -15.13870  -15.08265   -54.88668   -54.88668   -54.81036    5.1
N1448      -5.02118   -4.96578   -4.84744  -15.14745  -14.87321  -14.70467   -54.76389   -54.76389   -54.72874   18.1
N1448      -4.18825   -4.14422   -4.12479  -14.93868  -14.85163  -14.71719   -54.80587   -54.69885   -54.65545   50.0
N1559      -8.67798   -8.67798   -8.53606  -15.65952  -15.42213  -15.42213   -55.51979   -55.51979   -55.33699    0.4
N1559      -7.35876   -7.12153   -6.91010  -15.70390  -15.61828  -15.35313   -55.44397   -55.44397   -55.29483    1.4
N1559      -6.05396   -5.92420   -5.85601  -15.33617  -15.16292  -15.03845   -55.30036   -55.26454   -55.09504    5.1
N1559      -5.10723   -4.99087   -4.94779  -15.01691  -14.94608  -14.83173   -55.15853   -55.09865   -55.00083   18.1
N1559      -4.15760   -4.11742   -4.07960  -14.70349  -14.65370  -14.56669   -55.04147   -54.97393   -54.92284   50.0
N2442      -8.75533   -8.63366   -8.59866  -15.83350  -15.83350  -15.27263   -55.35774   -55.35774   -54.77881    0.4
N2442      -6.92394   -6.76876   -6.45608  -15.80581  -15.35724  -15.32995   -55.17580   -55.01353   -54.60618    1.4
N2442      -6.16207   -6.07781   -5.87611  -15.68725  -15.61143  -15.24884   -55.08754   -54.97007   -54.59453    5.1
N2442      -5.05766   -4.92520   -4.87274  -15.54908  -15.31970  -15.13596   -55.02321   -54.91260   -54.74757   18.1
N2442      -4.08306   -4.05825   -4.02290  -14.70576  -14.60593  -14.52591   -54.93195   -54.87473   -54.67386   50.0
N2525      -8.82842   -8.72824   -8.59258  -15.67510  -15.50470  -15.14200   -55.44269   -55.14103   -54.89527    0.4
N2525      -6.88203   -6.74834   -6.54612  -15.55704  -15.39701  -15.29099   -55.08521   -54.94907   -54.83174    1.4
N2525      -6.35005   -6.23393   -6.17412  -15.53976  -15.45180  -15.34477   -55.13631   -54.93452   -54.72971    5.1
N2525      -5.01303   -4.95659   -4.78297  -14.96992  -14.88061  -14.73783   -54.97555   -54.89469   -54.81406   18.1
N2525      -4.11362   -4.09359   -4.05664  -14.59680  -14.51184  -14.45400   -54.90888   -54.82624   -54.70421   50.0
N2608      -9.08608   -8.95527   -8.69517  -16.16397  -15.89596  -15.89596   -55.70604   -55.58166   -55.54838    0.4
N2608      -7.02940   -6.75332   -6.58615  -15.78514  -15.36251  -15.11454   -54.89481   -54.70050   -54.47750    1.4
N2608      -6.37704   -6.28190   -6.19901  -15.80098  -15.42858  -15.21440   -54.88905   -54.63501   -54.44600    5.1
N2608      -5.50599   -5.48528   -5.37686  -15.93518  -15.59670  -15.33505   -54.92864   -54.62340   -54.45056   18.1
N2608      -4.21746   -4.17355   -4.15476  -14.88213  -14.80751  -14.70474   -54.83658   -54.69300   -54.40656   50.0
N3021      -8.82808   -8.63440   -8.61619  -15.55076  -14.96542  -14.91469   -54.95124   -54.76726   -54.34602    0.4
N3021      -7.72663   -7.59475   -7.51003  -15.55040  -15.45097  -14.91371   -54.94933   -54.76726   -54.35795    1.4
N3021      -6.47260   -6.31820   -6.25300  -15.53952  -15.44025  -14.76160   -54.94881   -54.76500   -54.36561    5.1
N3021      -5.26829   -5.20029   -5.17218  -15.32814  -15.25766  -14.69658   -54.71586   -54.36726   -54.30066   18.1
N3021      -4.18499   -4.15061   -4.11368  -14.70237  -14.65499  -14.54303   -54.73709   -54.73709   -54.27223   50.0
N3147      -8.52789   -8.48997   -8.39488  -15.39332  -15.02664  -14.84419   -54.73583   -54.60811   -54.45873    0.4
N3147      -6.27999   -5.82483   -5.25715  -14.89045  -14.68709  -14.04521   -54.34261   -54.09943   -53.52686    1.4
